label,cp_mean - mem_mean,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L5H2,-0.004687482,-0.005055923946201801,-0.009743406437337399,0.0046874843537807465,0.040582362562417984,0.03973366692662239,0.05067535862326622
L5H3,-0.001735859,0.020454837009310722,0.018718978390097618,0.0017358572222292423,0.028854381293058395,0.03169306740164757,0.040668826550245285
L5H4,0.000655279,0.007247559726238251,0.007902838289737701,-0.0006552780978381634,0.02747822366654873,0.028321677818894386,0.029408661648631096
L5H5,0.038857505,0.14683538675308228,0.1856928914785385,-0.038857486099004745,0.08948485553264618,0.08050604909658432,0.1078510507941246
L5H6,-0.001857391,0.008286738768219948,0.006429348140954971,0.0018573900451883674,0.023803630843758583,0.025205247104167938,0.03353671729564667
L5H7,-0.00447353,0.06741609424352646,0.06294256448745728,0.004473530221730471,0.12075134366750717,0.11600609123706818,0.058731164783239365
L5H8,-0.008783354,0.011613987386226654,0.0028306329622864723,0.008783354423940182,0.047843001782894135,0.043719589710235596,0.0536055862903595
L5H9,0.008404523,-0.054500143975019455,-0.04609562084078789,-0.008404531516134739,0.13155420124530792,0.13481001555919647,0.1699678748846054
L5H10,-0.015451856,0.09872344881296158,0.08327159285545349,0.015451851300895214,0.07623879611492157,0.08157198131084442,0.09180184453725815
L5H11,0.017893232,-0.10994163900613785,-0.09204840660095215,-0.01789323426783085,0.08459107577800751,0.08074016124010086,0.08320841938257217
L6H0,0.001338158,0.021077455952763557,0.022415613755583763,-0.0013381560565903783,0.04818095266819,0.04923062026500702,0.05966565012931824
L6H1,-0.000538997,0.09624229371547699,0.09570329636335373,0.0005389892030507326,0.0691417008638382,0.06722503155469894,0.05580507218837738
L6H2,0.005571023,-0.04781123623251915,-0.042240213602781296,-0.005571018438786268,0.06601858884096146,0.06497259438037872,0.06540296226739883
L6H3,-0.001152145,0.0019494590815156698,0.0007973141619004309,0.001152144861407578,0.039427656680345535,0.04013146832585335,0.05197012051939964
L6H4,0.020068407,0.202976256608963,0.22304466366767883,-0.02006835862994194,0.10322506725788116,0.10652930289506912,0.1158994659781456
L6H5,0.002962815,-0.0046187699772417545,-0.001655955333262682,-0.0029628141783177853,0.05062471330165863,0.052937328815460205,0.06194768100976944
L6H6,0.005590931,-0.22655710577964783,-0.220966175198555,-0.005590943619608879,0.11637049913406372,0.12250594049692154,0.14650212228298187
L6H7,-0.017262794,0.10313652455806732,0.08587373048067093,0.017262805253267288,0.08116026967763901,0.08098920434713364,0.08775711804628372
L6H8,-0.003042369,0.008312615565955639,0.0052702464163303375,0.003042370080947876,0.046756841242313385,0.05068151652812958,0.06395941972732544
L6H9,0.124635011,0.1830422580242157,0.3076772689819336,-0.1246350109577179,0.09875576198101044,0.1423485279083252,0.08602329343557358
L6H10,0.010176331,0.07913795113563538,0.0893142819404602,-0.010176319628953934,0.07252691686153412,0.08516380190849304,0.08372871577739716
L6H11,-0.002767816,0.015493836253881454,0.012726020067930222,0.002767815487459302,0.027589570730924606,0.030248528346419334,0.037016239017248154
L7H0,-0.000618346,0.0169584471732378,0.0163401011377573,0.0006183491786941886,0.02292133867740631,0.025485696271061897,0.026777122169733047
L7H1,0.048455477,0.17180322110652924,0.2202586978673935,-0.04845549538731575,0.11772863566875458,0.12412286549806595,0.09355645626783371
L7H2,0.476147145,0.30996909737586975,0.7861162424087524,-0.4761471450328827,0.2045130580663681,0.3687327802181244,0.2722906768321991
L7H3,-0.007125326,-0.06841602176427841,-0.07554134726524353,0.0071253301575779915,0.09952782094478607,0.10199572890996933,0.09696841984987259
L7H4,-0.005588958,0.021025341004133224,0.015436382964253426,0.005588957108557224,0.03341035544872284,0.03257646784186363,0.04109165072441101
L7H5,-0.005345762,0.12008646130561829,0.11474069952964783,0.005345770623534918,0.07051060348749161,0.06182726100087166,0.058396242558956146
L7H6,0.018156752,-0.25432100892066956,-0.23616425693035126,-0.018156742677092552,0.13621065020561218,0.12968017160892487,0.15135063230991364
L7H7,0.017349094,0.24926689267158508,0.26661598682403564,-0.017349082976579666,0.11076675355434418,0.11523402482271194,0.08047987520694733
L7H8,-0.012066493,0.030532190576195717,0.018465697765350342,0.01206649374216795,0.09418759495019913,0.09049250930547714,0.07267378270626068
L7H9,0.036841527,-0.11255039274692535,-0.07570886611938477,-0.03684152290225029,0.0979941338300705,0.06309986114501953,0.08846282958984375
L7H10,0.562466234,0.1547943651676178,0.7172605991363525,-0.5624662041664124,0.13118773698806763,0.26183706521987915,0.259480744600296
L7H11,0.018093161,0.10644679516553879,0.12453995645046234,-0.018093165010213852,0.0794534683227539,0.08865050971508026,0.03643517196178436
L8H0,-0.008957126,-0.011520114727318287,-0.020477240905165672,0.00895712524652481,0.048181142657995224,0.05174597352743149,0.06456725299358368
L8H1,0.120005593,0.20093856751918793,0.3209441602230072,-0.12000555545091629,0.10693057626485825,0.14415201544761658,0.09865652024745941
L8H2,-0.019274388,0.07651126384735107,0.05723687633872032,0.019274389371275902,0.06840027123689651,0.05958719551563263,0.0644238069653511
L8H3,0.004490845,0.09649043530225754,0.10098128020763397,-0.0044908542186021805,0.055723804980516434,0.053804196417331696,0.047136109322309494
L8H4,-0.001266982,0.033834610134363174,0.03256762772798538,0.0012669811258092523,0.03150596097111702,0.03229152038693428,0.026759177446365356
L8H5,0.005127214,-0.021438181400299072,-0.01631096750497818,-0.0051272157579660416,0.11930393427610397,0.1269853413105011,0.12265754491090775
L8H6,0.069854856,0.5703147649765015,0.640169620513916,-0.06985481083393097,0.2738804519176483,0.2764347791671753,0.14030183851718903
L8H7,0.006378986,0.11265184730291367,0.11903083324432373,-0.006378976162523031,0.07225087285041809,0.07380466908216476,0.05117145925760269
L8H8,0.006129012,0.1505974680185318,0.15672647953033447,-0.0061290268786251545,0.19254755973815918,0.18534304201602936,0.08681804686784744
L8H9,-0.002448367,-0.0047371541149914265,-0.00718552153557539,0.002448367653414607,0.07276148349046707,0.07654047757387161,0.08619540184736252
L8H10,-0.08284682,-0.8477721810340881,-0.9306190013885498,0.0828467383980751,0.3562030494213104,0.4063571095466614,0.25075435638427734
L8H11,0.022515565,0.1401151418685913,0.16263070702552795,-0.0225155521184206,0.11761787533760071,0.1260649710893631,0.15144991874694824
