label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L4H10,3,1.9585157133406028e-05,1.9752713342313655e-05,1.675576299930981e-07,7.876257086536498e-07,8.245785920735216e-07,9.476489140070044e-07
L4H10,4,1.977487227122765e-05,1.979541229957249e-05,2.0542028522640976e-08,8.167610872078512e-07,8.381776979149436e-07,5.746060196543112e-07
L4H10,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L4H10,6,1.9515395251801237e-05,1.9449804312898777e-05,-6.55896883472451e-08,1.0270973689330276e-06,9.405961804986873e-07,9.772991234058281e-07
L4H10,7,1.9825869458145462e-05,1.9782210074481554e-05,-4.3658356929654474e-08,4.915063414046017e-07,4.85157499952038e-07,5.184180622563872e-07
L4H10,8,7.481116881535854e-07,7.35434070975316e-07,-1.2677626948232046e-08,3.821630343736615e-06,3.756697651624563e-06,1.5672452491344302e-07
L4H10,9,1.973216058104299e-05,1.9786448319791816e-05,5.428796612250153e-08,8.773035347076075e-07,8.951951144808845e-07,9.041359021466633e-07
L4H10,10,1.5611602066201158e-05,1.565900856803637e-05,4.740677539416538e-08,8.064098437898792e-06,8.088497452263255e-06,6.272672408158542e-07
L4H10,11,1.981002242246177e-05,1.9839659216813743e-05,2.9634584564064426e-08,6.145302222648752e-07,6.208230161064421e-07,7.005701831985789e-07
L4H10,12,1.9184935808880255e-05,1.9166162019246258e-05,-1.8771885379464948e-08,3.683461045511649e-06,3.6792182527278783e-06,6.229994937712036e-07
L4H10,13,1.9845045244437642e-05,1.984351547434926e-05,-1.5280867682321286e-09,5.630323585137376e-07,5.58118529170315e-07,5.747528462052287e-07
L4H11,0,2.027663322223816e-05,2.0292578483349644e-05,1.5946136855404802e-08,5.275235253066057e-07,5.527175517272553e-07,7.476223231606127e-07
L4H11,1,1.9572864403016865e-05,1.9576820704969577e-05,3.956556415829482e-09,1.3468826409734902e-06,1.3022097391512943e-06,1.7390572111253277e-06
L4H11,2,1.6235220755334012e-05,1.6169866285054013e-05,-6.535488950021318e-08,8.456336217932403e-06,8.441456884611398e-06,1.6954337525021401e-06
L4H11,3,2.0218320059939288e-05,2.029114511969965e-05,7.282277891818012e-08,1.4498392602035892e-06,1.488084308221005e-06,1.8725796735452604e-06
L4H11,4,2.000499989662785e-05,2.0056248104083352e-05,5.1245944376887564e-08,1.0737164757301798e-06,1.103183194572921e-06,1.0863011539186118e-06
L4H11,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L4H11,6,2.0134424630668946e-05,2.0090266843908466e-05,-4.4156827527785936e-08,1.2765131032210775e-06,1.3637642268804484e-06,1.496553295510239e-06
L4H11,7,2.0306772057665512e-05,2.027251321123913e-05,-3.425851957672421e-08,9.50108756114787e-07,9.751513516675914e-07,1.2673641549554304e-06
L4H11,8,7.352541047112027e-07,7.401671382467612e-07,4.912928286415763e-09,3.7556642382696737e-06,3.7811428228451405e-06,1.1806858424279199e-07
L4H11,9,1.9420209355303086e-05,1.9348221030668356e-05,-7.198661933216499e-08,8.033593985601328e-07,8.270187663583783e-07,9.94497327155841e-07
L4H11,10,1.575550777488388e-05,1.566279388498515e-05,-9.271322198856069e-08,8.16631563793635e-06,8.127490218612365e-06,1.2298302181079634e-06
L4H11,11,1.9840617824229412e-05,1.981082823476754e-05,-2.9788374433792342e-08,1.067718130798312e-06,1.0795429261634126e-06,1.4349576531458297e-06
L4H11,12,1.91280178114539e-05,1.9096205505775288e-05,-3.1811026701689116e-08,3.754367980945972e-06,3.7589231851598015e-06,1.3428399370241095e-06
L4H11,13,1.9576807972043753e-05,1.9573177269194275e-05,-3.630245659635989e-09,8.79710739809525e-07,9.274804710912576e-07,1.2213729405630147e-06
L5H0,0,1.989122938539367e-05,1.982065077754669e-05,-7.05789560129233e-08,9.634188700147206e-07,9.136256835517997e-07,1.2855026625402388e-06
L5H0,1,2.0071009203093126e-05,1.9975375835201703e-05,-9.563471792262135e-08,9.868645065580495e-07,9.602290447219275e-07,1.3300115142556024e-06
L5H0,2,1.614550274098292e-05,1.599295501364395e-05,-1.5254578045187372e-07,8.389849426748697e-06,8.313956641359255e-06,1.4433229580390616e-06
L5H0,3,2.0157776816631667e-05,2.0077057342859916e-05,-8.071922508179341e-08,1.0790233773150248e-06,9.940995369106531e-07,1.2753450846503256e-06
L5H0,4,1.993932164623402e-05,1.9889001123374328e-05,-5.032142880168067e-08,9.852074072114192e-07,9.66996935858333e-07,1.006085994958994e-06
L5H0,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L5H0,6,2.1236890461295843e-05,2.107883119606413e-05,-1.5805926523171365e-07,1.9571500615711557e-06,1.8334137621422997e-06,1.8879119352277485e-06
L5H0,7,1.9996219634776935e-05,1.9968721971963532e-05,-2.7496223964362798e-08,6.672789254480449e-07,6.589007170987315e-07,8.905637400857813e-07
L5H0,8,7.725064392616332e-07,7.569155968667474e-07,-1.5590918778229934e-08,3.9485812521888874e-06,3.868967723974492e-06,2.4702768541828846e-07
L5H0,9,2.023965680564288e-05,2.0185461835353635e-05,-5.4194650545014156e-08,9.259800890504266e-07,9.412513009010581e-07,1.1310826266708318e-06
L5H0,10,1.5810459444765e-05,1.574743328092154e-05,-6.302831678794973e-08,8.213557521230541e-06,8.172388334060088e-06,1.1704697726599989e-06
L5H0,11,1.962562237167731e-05,1.9628912923508324e-05,3.291595662702207e-09,1.08470999293786e-06,1.0825596064023557e-06,1.2881686188848107e-06
L5H0,12,1.883716686279513e-05,1.8845650629373267e-05,8.482689217714778e-09,3.8135704016895033e-06,3.798627858486725e-06,1.5122194554351154e-06
L5H0,13,2.307830800418742e-05,2.3636239347979426e-05,5.579299227065349e-07,1.738901119097136e-06,1.8435084712109528e-06,1.8708580000748043e-06
L5H1,0,2.0665480406023562e-05,2.04433235921897e-05,-2.2215805017822277e-07,1.278673607885139e-06,1.260915155398834e-06,1.7567541590324254e-06
L5H1,1,2.0707664589281194e-05,2.0454381228773855e-05,-2.532838152546901e-07,1.3259185607239488e-06,1.305891032643558e-06,1.8230788327855407e-06
L5H1,2,1.6384276023018174e-05,1.6195706848520786e-05,-1.885695439796109e-07,8.538762813259382e-06,8.443775186606217e-06,1.8131817114408477e-06
L5H1,3,2.0594798115780577e-05,2.0410592696862295e-05,-1.842056036593931e-07,1.2154458772783983e-06,1.2078224926881376e-06,1.6852155795277213e-06
L5H1,4,2.0493618649197742e-05,2.031320946116466e-05,-1.8040823590581567e-07,1.195441427626065e-06,1.1957613423874136e-06,1.3893162531530834e-06
L5H1,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L5H1,6,2.0682118702097796e-05,2.0548279280774295e-05,-1.3383797181631962e-07,1.2897871783934534e-06,1.3158431784177083e-06,1.791919657989638e-06
L5H1,7,2.0447654605959542e-05,2.0314380890340544e-05,-1.3327468195711845e-07,8.729772389415302e-07,8.724135227566876e-07,1.2052116744598607e-06
L5H1,8,8.323755196215643e-07,7.871088882893673e-07,-4.526663843762435e-08,4.269516921340255e-06,4.034429366583936e-06,5.883237577108957e-07
L5H1,9,2.0424155081855133e-05,2.0221490558469668e-05,-2.0266379863187467e-07,1.2986474757781252e-06,1.3851931726094335e-06,1.6959314734776854e-06
L5H1,10,1.622933996259235e-05,1.6118805433507077e-05,-1.1053455040155313e-07,8.724892722966615e-06,8.671162504469976e-06,2.953931698357337e-06
L5H1,11,1.928062738443259e-05,1.9171886378899217e-05,-1.087407781596994e-07,2.276353825436672e-06,2.283693675053655e-06,2.890136784117203e-06
L5H1,12,1.885619349195622e-05,1.8756358258542605e-05,-9.983533288959734e-08,4.602999979397282e-06,4.470508429221809e-06,3.401331923669204e-06
L5H1,13,2.4412052880506963e-05,3.313405977678485e-05,8.722003258299083e-06,5.21902848049649e-06,7.761999768263195e-06,7.04467811374343e-06
L5H2,0,2.0165609385003336e-05,2.0159302948741242e-05,-6.30721963545966e-09,5.349150455913332e-07,5.898719450669887e-07,6.717605742778687e-07
L5H2,1,2.018216582655441e-05,2.0359591871965677e-05,1.774258748810098e-07,9.082396559279005e-07,1.0519021316213184e-06,1.2795164821000071e-06
L5H2,2,1.6199781384784728e-05,1.6101244909805246e-05,-9.85380310680739e-08,8.383371095987968e-06,8.33459671412129e-06,1.0008728850152693e-06
L5H2,3,2.0617815607693046e-05,2.045265500782989e-05,-1.6516243306341494e-07,1.0096546247950755e-06,1.0381817219240475e-06,1.3427046496872208e-06
L5H2,4,2.0416799088707194e-05,2.0266148567316122e-05,-1.506482050217528e-07,1.0198474456046824e-06,1.0259126383971306e-06,1.0620161674523843e-06
L5H2,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L5H2,6,2.022337503149174e-05,2.019700150412973e-05,-2.6372820371989292e-08,8.084921319095884e-07,8.273516982626461e-07,1.0746784937509801e-06
L5H2,7,2.0112720449105836e-05,2.010357638937421e-05,-9.142823387264798e-09,9.375601734973316e-07,8.991813160719175e-07,1.1440811249485705e-06
L5H2,8,7.362062888205401e-07,7.453757575603959e-07,9.169462522606864e-09,3.76067418983439e-06,3.8073603718657978e-06,1.3460100944939768e-07
L5H2,9,2.0098921595490538e-05,2.0109067918383516e-05,1.0147664042392535e-08,4.6487406279993593e-07,5.132425826559484e-07,6.540434469570755e-07
L5H2,10,1.5901297956588678e-05,1.581410651851911e-05,-8.71897256615739e-08,8.213334695028607e-06,8.170858563971706e-06,7.892717803770211e-07
L5H2,11,2.0013805624330416e-05,1.9849530872306786e-05,-1.6427661364559754e-07,9.385202019984717e-07,9.38101493375143e-07,1.2662671906582545e-06
L5H2,12,1.9280871129012667e-05,1.9150651496602222e-05,-1.3022004452523106e-07,3.736907956408686e-06,3.7167183108977042e-06,1.0793423825816717e-06
L5H2,13,1.9792345483438112e-05,1.9699116819538176e-05,-9.322994998228751e-08,8.050404858295224e-07,7.841958336030075e-07,9.997489769375534e-07
L5H3,0,1.9809544028248638e-05,1.9808490833383985e-05,-1.051177589417307e-09,4.922530933981761e-07,4.965225457453926e-07,6.177410796226468e-07
L5H3,1,2.044240500254091e-05,2.0386076357681304e-05,-5.632826116652723e-08,7.960924790495483e-07,8.418409152000095e-07,1.0436275488245883e-06
L5H3,2,1.6277354006888345e-05,1.616180998098571e-05,-1.1554349299558453e-07,8.428150067629758e-06,8.371979674848262e-06,1.091989020096662e-06
L5H3,3,2.0460476662265137e-05,2.0359953850856982e-05,-1.0052156795836709e-07,8.995573921311006e-07,8.921973062570032e-07,1.1198537777090678e-06
L5H3,4,2.0530333131318912e-05,2.048323949566111e-05,-4.709313827788719e-08,9.978895150197786e-07,1.0422194236525684e-06,9.504171885055257e-07
L5H3,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L5H3,6,2.098506774927955e-05,2.1073838070151396e-05,8.87703350826996e-08,1.024568064167397e-06,1.1203815120097715e-06,1.262313048755459e-06
L5H3,7,2.050952571153175e-05,2.0507131921476685e-05,-2.39387043521333e-09,6.050030378901283e-07,6.383424420164374e-07,7.602826599395485e-07
L5H3,8,7.472695529031625e-07,7.422513590427116e-07,-5.018241822085656e-09,3.816908701992361e-06,3.791468088820693e-06,1.135861751322409e-07
L5H3,9,2.0468401999096386e-05,2.0435118130990304e-05,-3.328268149971336e-08,6.009979074406147e-07,6.56941949728207e-07,8.27440373996069e-07
L5H3,10,1.60310955834575e-05,1.5963369150995277e-05,-6.772476268679384e-08,8.277325832750648e-06,8.24396192911081e-06,7.3304624947923e-07
L5H3,11,2.0257497453712858e-05,2.0182875232421793e-05,-7.462316631290378e-08,6.08326558904082e-07,6.608357807635912e-07,8.339757755493338e-07
L5H3,12,1.9623425032477826e-05,1.9566692571970634e-05,-5.6731963127276686e-08,3.763621862162836e-06,3.761465904972283e-06,8.303745175908261e-07
L5H3,13,2.0302608390920796e-05,2.026913352892734e-05,-3.3474094607299776e-08,5.875057240700698e-07,6.427659400287666e-07,8.271359774880693e-07
L5H4,0,1.980982233362738e-05,1.9780005459324457e-05,-2.981850499850225e-08,4.6273964926513145e-07,4.870361749453878e-07,6.337332933981088e-07
L5H4,1,1.9856146536767483e-05,1.9844359485432506e-05,-1.178995567840957e-08,5.693495381819957e-07,6.453810215134581e-07,6.601136988138023e-07
L5H4,2,1.5699701179983094e-05,1.569901723996736e-05,-6.853042577859014e-10,8.103451364149805e-06,8.10525943961693e-06,6.320560714812018e-07
L5H4,3,1.9922519641113468e-05,1.990111923078075e-05,-2.139887200769408e-08,5.508763933903538e-07,5.815584245283389e-07,6.271204711083556e-07
L5H4,4,1.991243516386021e-05,1.9898658138117753e-05,-1.3775489193790236e-08,7.867218414503441e-07,7.771842547299457e-07,5.096113682157011e-07
L5H4,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
